#,序号,卷包实际得分,重量平均值,长度平均值,圆周平均值,吸阻平均值,硬度平均值,重量设计值,重量允差,长度设计值,长度允差,圆周设计值,圆周允差,吸阻设计值,吸阻允差,硬度设计值,硬度允差,盒标焦油量(mg),盒标烟气烟碱量(mg),盒标一氧化碳量(mg),平均质量(g),平均吸阻(pa),抽吸口数(口／支),总粒相物(mg),实测水分(mg),实测烟气烟碱量(mg),实测焦油量(mg),焦油量得分,烟气烟碱量得分,实测一氧化碳量(mg),一氧化碳量得分,烟气判定,端部落丝量,端部落丝量判定,含水率,含水率判定,含末率,含末率判定,制丝批次号,批次号,累计批次,主秤后填充值 cm3/g,含水率%,填充值cm3/g,长丝g,中丝g,短丝g,碎丝g,总重,整丝率%,碎丝率%,加香线,水分仪水分
1,1,99.3,0.866,84,24.29,1143,66.08,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.87,1067,6.8,14.81,2.54,1.07,11.2,80,100,10.9,80,合格,4.7,合格,12,合格,1.56,合格,BJ230215-LLQXB-04A,BJ230215-LLQXB-04A,18,4.81,11.89,5.5,629.5,224.6,182,14,1050.1,81.34%,1.33%,2线,11.98
2,2,99.2,0.889,84.06,24.23,1203,70.76,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.868,1073,6.8,14.57,2.37,1.08,11.1,80,100,10.5,80,合格,6.5,合格,11.73,合格,1.67,合格,BJ230216-LLQXB-02A,BJ230216-LLQXB-02A,20,5.03,11.95,5.61,552.3,170,147.8,14.8,884.9,81.63%,1.67%,2线,11.78
3,3,98.4,0.873,83.98,24.28,1162,67.07,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.872,1052,6.6,14.53,2.23,1.07,11.2,80,100,10.9,80,合格,3,合格,11.98,合格,1.73,合格,BJ230217-LLQXB-02A,BJ230217-LLQXB-02A,22,4.81,11.98,5.45,598.5,241.7,195.7,13.7,1049.6,80.05%,1.31%,2线,12
4,4,97.9,0.87,83.87,24.32,1166,68.53,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.866,1070,6.7,14.5,2.34,1.08,11.1,80,100,10.8,80,合格,5,合格,11.64,合格,1.65,合格,BJ230217-LLQXB-05A,BJ230217-LLQXB-05A,25,5.2,11.94,5.48,616.7,168.2,148.8,11.9,945.6,83.01%,1.26%,2线,12.12
5,5,97.4,0.875,84.03,24.28,1165,69.22,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.879,1062,6.8,14.88,2.37,1.11,11.4,80,100,10.5,80,合格,5.2,合格,11.77,合格,1.93,合格,BJ230221-LLQXB-02A,BJ230221-LLQXB-02A,31,5.19,12.11,5.48,477.9,188.8,153.5,12.5,832.7,80.06%,1.50%,2线,12.02
6,6,99.1,0.876,84.04,24.19,1193,65.58,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.864,1063,6.6,13.98,2.07,1.01,10.9,80,100,10.3,80,合格,5,合格,12.02,合格,1.51,合格,BJ230221-LLQXB-02A,BJ230221-LLQXB-02A,31,5.19,12.11,5.48,477.9,188.8,153.5,12.5,832.7,80.06%,1.50%,2线,12.02
7,7,99.1,0.876,83.98,24.19,1157,66.45,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.859,1087,6.9,12.7,1.42,0.9,10.4,80,100,10.1,100,合格,5.7,合格,11.97,合格,1.44,合格,BJ230228-LLQXB-04A,BJ230228-LLQXB-04A,8,5.23,11.96,5.49,622.3,212.4,187.5,13.6,1035.8,80.59%,1.31%,2线,11.67
8,8,99.5,0.866,84.05,24.21,1184,67.13,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.85,1228,6.8,13.99,1.94,1,11.1,80,100,11.7,80,合格,4.1,合格,11.82,合格,1.66,合格,BJ230301-LLQXB-03A,BJ230301-LLQXB-03A,15,5.22,12.03,5.51,541.2,208.4,164.9,12.2,926.7,80.89%,1.32%,2线,11.8
9,9,97.7,0.87,83.93,24.3,1155,67.29,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.846,1201,6.4,13.99,2.09,0.96,10.9,80,100,11.4,80,合格,5.7,合格,11.47,合格,1.65,合格,BJ230302-LLQXB-03A,BJ230302-LLQXB-03A,18,5.04,11.95,5.42,585.9,221.1,177,12.9,996.9,80.95%,1.29%,2线,11.8
10,10,99.6,0.878,83.98,24.23,1183,65.14,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.86,1223,6.6,14.37,2.13,1.02,11.2,80,100,12.1,80,合格,5.9,合格,12.1,合格,1.91,合格,BJ230303-LLQXB-01A,BJ230303-LLQXB-01A,19,5.13,11.93,5.42,642.8,160.9,134,11,948.7,84.72%,1.16%,2线,11.68
11,11,99.5,0.864,83.85,24.3,1138,68.28,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.845,1173,6.4,13.8,1.96,0.99,10.9,80,100,11.6,80,合格,4.6,合格,11.52,合格,1.68,合格,BJ230306-LLQXB-01A,BJ230306-LLQXB-01A,中试,5.2,12.06,5.36,545.8,162.8,136.8,10.7,856.1,82.77%,1.25%,2线,11.8
12,12,99.1,0.866,84.01,24.26,1149,66.44,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.845,1223,6.7,13.98,1.84,1.04,11.1,80,100,11.3,80,合格,4.3,合格,11.79,合格,1.89,合格,BJ230306-LLQXB-02A,BJ230306-LLQXB-02A,27,5.13,11.88,5.43,638.2,230.6,186.8,14.2,1069.8,81.21%,1.33%,2线,11.75
13,13,98.4,0.865,83.97,24.21,1161,66.23,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.886,1191,6.7,13.44,2.27,0.92,10.3,80,100,12,80,合格,6.8,合格,11.71,合格,1.9,合格,BJ230308-LLQXB-06A,BJ230308-LLQXB-06A,37,4.98,11.91,5.24,496.3,196.8,121.3,12.1,826.5,83.86%,1.46%,2线,11.84
14,14,100,0.862,84.03,24.19,1135,66.42,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.875,1211,6.6,12.96,2.18,0.81,10,80,100,11.3,80,合格,7.4,合格,11.82,合格,1.92,合格,BJ230310-LLQXB-01A,BJ230310-LLQXB-01A,45,5.02,11.96,5.56,618,245.6,198.8,16.4,1078.8,80.05%,1.52%,2线,11.9
15,15,99.6,0.868,83.93,24.25,1160,66.3,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.87,1188,6.6,13.71,2.33,0.82,10.6,80,100,11.8,80,合格,4.4,合格,11.87,合格,1.68,合格,BJ230310-LLQXB-04A,BJ230310-LLQXB-04A,48,5.02,12.12,5.33,618.4,232.1,193.5,16.7,1060.7,80.18%,1.57%,2线,12.08
16,16,99,0.865,84.09,24.24,1140,65.99,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.87,1136,6,13.21,1.5,1.01,10.7,80,100,10,80,合格,6.2,合格,11.81,合格,1.75,合格,BJ230313-LLQXB-02A,BJ230313-LLQXB-02A,53,5.23,11.85,5.37,466.5,175.3,146.3,12.3,800.4,80.18%,1.54%,2线,11.76
17,17,99.4,0.861,83.96,24.21,1114,68.85,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.873,1122,6,13.22,1.9,0.96,10.4,80,100,10,80,合格,5.5,合格,11.78,合格,2.44,合格,BJ230315-LLQXB-03A,BJ230315-LLQXB-03A,58,4.96,11.99,5.48,537.1,206.8,168.4,13.8,926.1,80.33%,1.49%,2线,11.81
18,18,97.8,0.875,83.85,24.31,1151,68.33,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.867,1086,6.1,13.18,1.56,0.98,10.6,80,100,10.4,80,合格,5.6,合格,11.75,合格,1.48,合格,BJ230316-LLQXB-02A,BJ230316-LLQXB-02A,61,5.03,11.95,5.54,547.1,234.4,184.8,15.3,981.6,79.61%,1.56%,2线,11.76
19,19,99.8,0.863,83.82,24.17,1110,68.18,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.861,1092,6,13.3,1.83,1,10.5,80,100,10.3,80,合格,8,合格,11.91,合格,1.67,合格,BJ230317-LLQXB-01A,BJ230317-LLQXB-01A,65,5.21,12.04,5.67,622,238.3,192.3,15.8,1068.4,80.52%,1.48%,2线,11.97
20,20,99.3,0.866,83.99,24.2,1134,65.59,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.867,1141,6,13.11,1.82,0.92,10.4,80,100,10.2,80,合格,5.3,合格,11.83,合格,1.61,合格,BJ230318-LLQXB-01A,BJ230318-LLQXB-01A,67,5.49,12.11,5.61,720.1,158.1,135.2,13.1,1026.5,85.55%,1.28%,2线,12.12
21,21,99.2,0.866,83.93,24.23,1131,66.13,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.863,1142,6,13.11,1.91,0.93,10.3,80,100,10.5,80,合格,5.4,合格,11.72,合格,1.38,合格,BJ230318-LLQXB-03A,BJ230318-LLQXB-03A,69,5.47,12,5.66,707.5,158.6,137,12.6,1015.7,85.27%,1.24%,2线,12.04
22,22,97.5,0.866,83.93,24.31,1150,66.51,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.862,1129,6,12.98,1.77,0.96,10.3,80,100,9.5,80,合格,4.6,合格,11.83,合格,1.73,合格,BJ230318-LLQXB-06A,BJ230318-LLQXB-06A,72,5.15,11.92,5.52,731.8,151.3,124,11.5,1018.6,86.70%,1.13%,2线,11.98
23,23,99.3,0.854,84.03,24.16,1135,65.26,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.867,1095,6,13.11,1.95,0.98,10.2,80,100,9.8,80,合格,5.8,合格,11.88,合格,1.49,合格,BJ230322-LLQXB-01A,BJ230322-LLQXB-01A,78,5.08,12.06,5.5,622.7,229.4,199.3,14.8,1066.2,79.92%,1.39%,2线,12.05
24,24,98.8,0.858,83.84,24.18,1130,68.04,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.87,1224,6.8,14.68,2.21,1.08,11.4,80,100,10.4,80,合格,6.9,合格,11.96,合格,1.67,合格,BJ230323-LLQXB-02A,BJ230323-LLQXB-02A,81,5,11.87,5.72,618.3,218.9,189.6,13.8,1040.6,80.45%,1.33%,2线,12.03
25,25,99.8,0.851,83.91,24.21,1131,66.37,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.871,1071,6.8,14.3,2.12,1.08,11.1,80,100,11.2,80,合格,4.6,合格,12.11,合格,1.81,合格,BJ230324-LLQXB-01A,BJ230324-LLQXB-01A,83,5.03,12.13,5.36,534.5,191.3,163.5,11.8,901.1,80.55%,1.31%,2线,12.11
26,27,99.5,0.849,83.74,24.2,1096,67.77,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.883,1110,7,14.6,2.23,1.1,11.3,80,100,11.3,80,合格,7.1,合格,11.95,合格,1.98,合格,BJ230324-LLQXB-02A,BJ230324-LLQXB-02A,84,4.95,11.98,5.6,629,225.4,188.7,13.4,1056.5,80.87%,1.27%,2线,12.1
27,26,99.8,0.853,83.93,24.27,1120,65.27,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.87,1105,6.8,14.82,2.44,1.06,11.3,80,100,10.9,80,合格,6.4,合格,11.92,合格,1.6,合格,BJ230324-LLQXB-03A,BJ230324-LLQXB-03A,85,5.24,12.03,5.44,525.6,229.5,183.4,13,951.5,79.36%,1.37%,2线,11.95
28,28,98.8,0.843,83.86,24.17,1072,68.38,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.859,1134,6.6,14.45,2.27,1.06,11.1,80,100,10.7,80,合格,6.4,合格,11.94,合格,2.2,合格,BJ230325-LLQXB-02A,BJ230325-LLQXB-02A,2,5.02,12.1,5.42,641.6,142.7,121.2,9.8,915.3,85.69%,1.07%,2线,12
29,29,99.4,0.845,84.05,24.21,1094,66.28,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.859,1146,6.6,13.98,2.4,1.02,10.6,80,100,10.7,80,合格,6,合格,11.95,合格,1.6,合格,BJ230330-LLQXB-02A,BJ230330-LLQXB-02A,11,4.78,12.26,5.46,549.2,190.5,169.5,12.4,921.6,80.26%,1.35%,2线,12.06
30,30,98.8,0.849,83.76,24.23,1034,68.17,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.837,1150,6.3,13.49,1.98,0.99,10.5,80,100,10.4,80,合格,6,合格,11.55,合格,1.91,合格,BJ230330-LLQXB-04A,BJ230330-LLQXB-04A,13,4.98,12.06,5.37,723.3,157.6,149,11.6,1041.5,84.58%,1.11%,2线,11.98
31,31,98.8,0.854,84.1,24.16,1138,66.67,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.836,1132,6.3,14.06,2.21,1.04,10.8,80,100,10.2,80,合格,8.3,合格,11.51,合格,1.91,合格,BJ230331-LLQXB-04A,BJ230331-LLQXB-04A,18,4.87,11.99,5.29,567.6,210.9,185.3,16.5,980.3,79.41%,1.68%,2线,11.84
32,32,99.3,0.853,83.87,24.18,1094,67.97,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.849,1150,6.4,14.54,2.24,1.1,11.2,80,100,10.8,80,合格,7.3,合格,11.56,合格,2.12,合格,BJ230401-LLQXB-01A,BJ230401-LLQXB-01A,19,5.01,11.97,5.49,556.6,169.3,141.8,11,878.7,82.61%,1.25%,2线,11.85
33,33,99.8,0.85,83.73,24.25,1067,67.98,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.845,1142,6.5,14.09,2.33,1.04,10.7,80,100,10.1,80,合格,6.9,合格,11.63,合格,2,合格,BJ230401-LLQXB-02A,BJ230401-LLQXB-02A,20,5.45,12.16,5.38,478.9,182.1,158,11.8,830.8,79.56%,1.42%,2线,11.91
